Month,Sales
1/1/2015,266
2/1/2015,145.9
3/1/2015,183.1
4/1/2015,119.3
5/1/2015,180.3
6/1/2015,168.5
7/1/2015,231.8
8/1/2015,224.5
9/1/2015,192.8
10/1/2015,122.9
11/1/2015,336.5
12/1/2015,185.9
1/1/2016,194.3
2/1/2016,149.5
3/1/2016,210.1
4/1/2016,273.3
5/1/2016,191.4
6/1/2016,287
7/1/2016,226
8/1/2016,303.6
9/1/2016,289.9
10/1/2016,421.6
11/1/2016,264.5
12/1/2016,342.3
1/1/2017,339.7
2/1/2017,440.4
3/1/2017,315.9
4/1/2017,439.3
5/1/2017,401.3
6/1/2017,437.4
7/1/2017,575.5
8/1/2017,407.6
9/1/2017,682
10/1/2017,475.3
11/1/2017,581.3
12/1/2017,646.9
